Placement,Origin,Destination,Advertiser Origin,Advertiser Destination,Average CPC (USD),Average Rank,First Rank Bid (USD),Third Rank Bid (USD),6th Rank Bid (USD),9th Rank Bid (USD),Est. Clicks,Est. Impressions,Est. Spend (USD)
FlyDealFarePanelD_US_FPCMP2,DTW,BOM,DTW,BOM,1.17,1,1.17,1.18,1.18,1.18,0,2,0
FlyDealFarePanelM_US_FPCMP2,SFO,COK,SFO,COK,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,LAX,BOM,LAX,BOM,0.95,2.62,1.02,0.96,0.96,0.96,2,5,0.94
FlyDealFarePanelD_US_FPCMP2,ORD,BLR,ORD,BLR,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,CLE,HYD,CLE,HYD,0.92,2,1.22,0.93,0.93,0.93,1,4,0.92
FlyDealFarePanelDOW_US_FPCMP2,BOM,LAX,BOM,LAX,1.17,1,1.17,1.18,1.18,1.18,1,1,0.58
FlyDealFarePanelM_US_FPCMP2,DEL,BWI,DEL,BWI,0.45,3,1.22,0.46,0.46,0.46,0,2,0
FlyDealFarePanelM_US_FPCMP2,ONT,DEL,ONT,DEL,1,2.55,1.51,1.01,1.01,1.01,0,4,0
FlyDealFarePanelD_US_FPCMP2,LAX,IDR,LAX,IDR,0.95,6,1.21,1.02,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,ATL,DEL,ATL,DEL,1,2.43,1.22,1.01,1.01,1.01,0,7,0
FlyDealFarePanelM_US_FPCMP2,AMD,DFW,AMD,DFW,0.45,3,1.22,0.46,0.46,0.46,0,3,0
FlyDealFarePanelM_US_FPCMP2,DEL,CLE,DEL,CLE,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,BOS,MAA,BOS,MAA,1,3.29,1.51,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,AMD,LAX,AMD,LAX,0.25,3,1.22,0.26,0.26,0.26,0,4,0
FlyDealFarePanelDOW_US_FPCMP2,MAA,BOS,MAA,BOS,0.3,4,1.02,0.65,0.31,0.31,0,1,0
FlyDealFarePanelM_US_FPCMP2,CLT,HSR,CLT,HSR,1,1,1,1.01,1.01,1.01,0,1,0
FlyDealFarePanelM_US_FPCMP2,DTW,AMD,DTW,AMD,1,2,1.22,1.01,1.01,1.01,0,4,0
